# Mapping generated from sheet data-prestations, input data.csv output 4_prestations_1.csv
"category";"service";"label";"search_filter";"price";"billing";"filter_presentation";"calculating";"job"
"Loisirs créatifs";"Atelier confection";"Atelier confection lave vitre";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier confection";"Atelier confection désodorisant intérieur";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier couture & broderie";"Cours de crochet";"";0;"de l'heure";"";"Nombre";"Couturier"
"Loisirs créatifs";"Atelier couture & broderie";"Cours de tricôt";"";0;"de l'heure";"";"Nombre";"Couturier"
"Loisirs créatifs";"Atelier couture & broderie";"Cours de canevas";"";0;"de l'heure";"";"Nombre";"Couturier"
"Loisirs créatifs";"Atelier couture & broderie";"Cours de couture";"";0;"de l'heure";"";"Nombre";"Couturier"
"Loisirs créatifs";"Atelier couture & broderie";"Cours de broderie";"";0;"de l'heure";"";"Nombre";"Couturier"
"Loisirs créatifs";"Atelier décoration";"Cours de mosaïque";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier décoration";"Scrapbooking";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier décoration";"Décopatch";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier décoration";"Pliages ";"";0;"de l'heure";"";"Nombre";""
"Loisirs créatifs";"Atelier décoration";"Poterie";"";0;"de l'heure";"";"Nombre";""
"Beauté & bien être";"Barbier";"Taille de barbe simple";"";0;"par prestation";"";"Nombre";"Barbier"
"Beauté & bien être";"Barbier";"Taille de barbe travaillée";"";0;"par prestation";"";"Nombre";"Barbier"
"Beauté & bien être";"Barbier";"Taille de barbe avec soins";"";0;"par prestation";"";"Nombre";"Barbier"
"Beauté & bien être";"Barbier";"Teinture de barbe";"";0;"par prestation";"";"Nombre";"Barbier"
"Beauté & bien être";"Barbier";"Rasage à l'ancienne avec soins";"";0;"par prestation";"";"Nombre";"Barbier"
"Beauté & bien être";"Beauté des mains et pieds";"Soin des ongles et pose de vernis";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Pose complète d'ongles en résine + pose d'un vernis";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Pose complète d'ongles en résine  + French manucure";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Remplissage de résine + pose d'un vernis";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Remplissage de résine + French manucure";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Pose complète d'ongles en gel + pose d'un vernis";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Pose complète d'ongles + French manucure";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Remplissage de gel + pose d’un vernis";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Remplissage de gel + French manucure";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Dépose Gel / résine";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Supplément capsules";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Supplément chablon";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Supplément nail art";"";0;"par prestation";"Mains";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Beauté des pieds";"";0;"par prestation";"Pieds";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Beauté des pieds + vernis";"";0;"par prestation";"Pieds";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Beauté des pieds + vernis semi-permanent";"";0;"par prestation";"Pieds";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Beauté des pieds + gel";"";0;"par prestation";"Pieds";"Nombre";"Esthéticienne"
"Beauté & bien être";"Beauté des mains et pieds";"Dépose gel";"";0;"par prestation";"Pieds";"Nombre";"Esthéticienne"
"Maison & travaux";"Chauffage";"Installation chauffe-eau";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Installation chaudiere à basse température";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Installation chaudiere à condensation";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Installation chaudiere à ventouse";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Installation poële à granulé ";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Installation poële à bois";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Installation cheminée";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Installation radiateur";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Installation sèche serviette";"";0;"unitaire";"Installation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Réparation chauffe-eau";"";0;"unitaire";"Réparation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Réparation chaudiere";"";0;"unitaire";"Réparation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Réparation Poële";"";0;"unitaire";"Réparation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Réparation cheminée";"";0;"unitaire";"Réparation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Remplacement vitre cheminée";"";0;"unitaire";"Réparation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Réparation climatisation ";"";0;"unitaire";"Réparation";"Nombre ";"Chauffagiste"
"Maison & travaux";"Chauffage";"Réparation radiateur";"";0;"unitaire";"Réparation";"Nombre";"Chauffagiste"
"Maison & travaux";"Chauffage";"Réparation sèche serviette";"";0;"unitaire";"Réparation";"Nombre";"Chauffagiste"
"Jardin & équipements";"Clôture & portail";"Installation clôture";"";0;"par m2";"Installation";"Surface";"Installateur"
"Jardin & équipements";"clôture & portail";"Installation portail";"";0;"par prestation";"Installation";"Nombre";""
"Jardin & équipements";"Clôture & portail";"Réparation clôture";"";0;"par m2";"Réparation";"Surface";""
"Jardin & équipements";"Clôture & portail";"Réparation portail";"";0;"par prestation";"Réparation";"Nombre";""
"Beauté & bien être";"Coaching bien-être";"Coaching bien être";"";0;"de l'heure";"";"Nombre";"Coach"
"Beauté & bien être";"Coaching bien-être";"Cure énergétique";"";0;"de l'heure";"";"Nombre";"Coach"
"Beauté & bien être";"Coaching bien-être";"Dietétique";"";0;"de l'heure";"";"Nombre";"Coach"
"Beauté & bien être";"Coaching bien-être";"Nutrithérapie";"";0;"de l'heure";"";"Nombre";"Coach"
"Beauté & bien être";"Coaching bien-être";"Pendériologie";"";0;"de l'heure";"";"Nombre";"Coach"
"Beauté & bien être";"Coiffure";"Shampoing";"";0;"par prestation";"Homme";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Coupe classique";"";0;"par prestation";"Homme";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Coupe création";"";0;"par prestation";"Homme";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Brushing";"";0;"par prestation";"Homme";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Couleur racine";"";0;"par prestation";"Homme";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Permanente  ";"";0;"par prestation";"Homme";"Nombre ";"Coiffeur"
"Beauté & bien être";"Coiffure";"Couleur complète";"";0;"par prestation";"Homme";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Shampoing";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Coupe classique";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Coupe création";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Brushing court et mi long";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Brushing long";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Brushing élaboré";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Couleur racine";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Couleur complète";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Soins";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Coiffure de mariage avec essai";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Coiffure de soirée";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Tie and dye";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Mèche";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Balayage";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Patine";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Dépose d'extensions";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Pose d'extension ";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Défrisage";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Lissage brésilien";"";0;"par prestation";"Femme ";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Shampoing";"";0;"par prestation";"Enfant";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Permanente ";"";0;"par prestation";"Enfant ";"Nombre";"Coiffeur "
"Beauté & bien être";"Coiffure";"Coupe classique";"";0;"par prestation";"Enfant";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure";"Coupe création";"";0;"par prestation";"Enfant";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Assouplissement Naturel";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Défrisage";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Curly";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Wave";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Lissage au Tanin sans formol";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Lissage brésilien";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Lissage 100% naturel";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Dépose tresses";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Tresses couchées couchées demi-tête";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Tresses couchées avec rajout";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Box Braid court";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Box Braid Mi-long";"";0;"par prestation";"";"Nombre";"Coiffeur"
"Beauté & bien être";"Coiffure afro";"Box Braid long";"";0;"par prestation";"";"Nombre";"Coiffeur"
