_id;Service;Prestations;Methode;Option;Supplément 1;Supplément 2
5d66a11808b3d612bd0865cd;Atelier confection;Atelier confection parfums;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865ce;Atelier confection;Atelier confection patch anti points noirs;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865cf;Atelier confection;Atelier confection gel après rasage;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d0;Atelier confection;Atelier confection lingette démaquillante lavable;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d1;Atelier confection;Atelier confection lessive;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d2;Atelier confection;Atelier confection anti-poux;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d3;Atelier confection;Atelier confection dégraissant multi surface;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d4;Atelier confection;Atelier confection pastilles lave-vaisselle;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d5;Atelier confection;Atelier confection lave vitre;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d6;Atelier confection;Atelier confection démélant cheveux;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d7;Atelier confection;Atelier confection liquide vaisselle;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865da;Atelier confection;Atelier confection gel coiffant;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865db;Atelier confection;Atelier confection détachant;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865dc;Atelier confection;Atelier confection désodorisant intérieur;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d8;Atelier couture & broderie;Cours de tricôt;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865d9;Atelier couture & broderie;Cours de canevas;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865dd;Atelier couture & broderie;Cours de couture;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865de;Atelier couture & broderie;Cours de crochet;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865df;Atelier couture & broderie;Cours de broderie;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e0;Atelier décoration;Cours de mosaïque;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e1;Atelier décoration;Scrapbooking;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e2;Atelier décoration;Poterie;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e3;Atelier décoration;Décopatch;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e4;Atelier décoration;Pliages;"par prestation;de l'heure";"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e5;Barbier;Taille de barbe simple;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e6;Barbier;Taille de barbe travaillée;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e7;Barbier;Taille de barbe avec soins;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e8;Barbier;Teinture de barbe;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865e9;Barbier;Rasage à l'ancienne avec soins;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865ea;Beauté des mains et pieds;Soin des ongles et pose de vernis;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865eb;Beauté des mains et pieds;Pose complète d'ongles en résine + pose d'un vernis;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865ec;Beauté des mains et pieds;Remplissage de résine + French manucure;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865ed;Beauté des mains et pieds;Pose complète d'ongles en résine+ French manucure;par prestation;"alfred;client";Forfait frais de déplacement;
5d66a11808b3d612bd0865ee;Beauté des mains et pieds;Remplissage de résine + pose d'un vernis;par prestation;"alfred;client";Forfait frais de déplacement;
